Genome_Name,TaxonID
Mycobacterium abscessus subsp. abscessus strain 148,1185650
Mycobacterium abscessus subsp. abscessus strain 161,1185650
Mycobacterium abscessus subsp. abscessus strain 157,1185650
Mycobacterium abscessus subsp. abscessus strain 160,1185650
Mycobacterium abscessus subsp. abscessus strain 170,1185650
Mycobacterium abscessus subsp. abscessus strain 176,1185650
Mycobacterium abscessus subsp. abscessus strain 231,1185650
Mycobacterium abscessus subsp. abscessus strain 252,1185650
Mycobacterium abscessus subsp. abscessus strain 772,1185650
Mycobacterium abscessus subsp. abscessus strain 269,1185650
Mycobacterium abscessus subsp. abscessus strain 773,1185650
Mycobacterium abscessus subsp. abscessus strain 777,1185650
Mycobacterium abscessus subsp. abscessus strain 353,1185650
Mycobacterium abscessus subsp. abscessus strain 357,1185650
Mycobacterium abscessus subsp. abscessus strain 361,1185650
Mycobacterium abscessus subsp. abscessus strain 345,1185650
Mycobacterium abscessus subsp. abscessus strain 389,1185650
